trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,Ecc,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_1.started,text_1.stopped,space_2.started,space_2.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ccimage.started,ccimage.stopped,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,text_37.started,text_37.stopped,movie.started,movie.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,space_3.started,space_3.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,line_size,calibrationline.started,calibrationline.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,space_4.started,space_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,space_5.started,space_5.stopped,instr_only.started,instr_only.stopped,text_6.started,text_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,space_7.started,space_7.stopped,instr_only_3.started,instr_only_3.stopped,text_8.started,text_8.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,space_6.started,space_6.stopped,instr_only_2.started,instr_only_2.stopped,text_7.started,text_7.stopped,center_cross.started,center_cross.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,space_11.started,space_11.stopped,instr_only_5.started,instr_only_5.stopped,text_13.started,text_13.stopped,center_cross_3.started,center_cross_3.stopped,black_square.started,black_square.stopped,text_14.started,text_14.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,space_8.started,space_8.stopped,instr_only_4.started,instr_only_4.stopped,text_11.started,text_11.stopped,center_cross_2.started,center_cross_2.stopped,black_square1.started,black_square1.stopped,text_12.started,text_12.stopped,white_ball2.started,white_ball2.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,space_17.started,space_17.stopped,instr_only_7.started,instr_only_7.stopped,text_44.started,text_44.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,space_18.started,space_18.stopped,instr_only_8.started,instr_only_8.stopped,text_45.started,text_45.stopped,white_ball1.started,white_ball1.stopped,black_square3.started,black_square3.stopped,text_19.started,text_19.stopped,text_20.started,text_20.stopped,white_ball12.started,white_ball12.stopped,text_21.started,text_21.stopped,text_22.started,text_22.stopped,white_ball13.started,white_ball13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,space_12.started,space_12.stopped,instr_only_6.started,instr_only_6.stopped,text_15.started,text_15.stopped,black_square2.started,black_square2.stopped,white_ball.started,white_ball.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,ballposx,viewer_distance,text_39.started,text_39.stopped,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,text_38.started,text_38.stopped,text_40.started,text_40.stopped,space_16.started,space_16.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_41.started,text_41.stopped,text_42.started,text_42.stopped,text_43.started,text_43.stopped,stim1.started,stim1.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,space_13.started,space_13.stopped,text_16.started,text_16.stopped,movie_2.started,movie_2.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,space_14.started,space_14.stopped,text_17.started,text_17.stopped,space_15.started,space_15.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,movie_3.started,movie_3.stopped,text_18.started,text_18.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,intructioncircle_1.started,intructioncircle_1.stopped,instructioncircle_2.started,instructioncircle_2.stopped,instructioncircle_3.started,instructioncircle_3.stopped,instructioncircle_4.started,instructioncircle_4.stopped,instructioncircle_5.started,instructioncircle_5.stopped,insturctioncircle_6.started,insturctioncircle_6.stopped,instructioncircle_7.started,instructioncircle_7.stopped,instructioncircle_8.started,instructioncircle_8.stopped,instructioncircle_9.started,instructioncircle_9.stopped,space_9.started,space_9.stopped,text_9.started,text_9.stopped,space_10.started,space_10.stopped,text_10.started,text_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,Colour_1,Ecc,Circle.started,Circle.stopped,centre_cross4_2.started,centre_cross4_2.stopped,Colour_2,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.7668325409977,None,174.78393933699408,None,174.78393933699408,None,174.78393933699408,None,174.78393933699408,None,174.78393933699408,None,174.78393933699408,None,space,0.2897469099989394,178.85071338999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.85071338999842,None,176.8670338479933,None,176.8670338479933,None,space,0.10930469100276241,181.13517041899468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.13517041899468,None,179.1676567849936,None,179.1676567849936,None,181.26866414899996,185.4376474199962,181.26866414899996,None,181.26866414899996,185.4376474199962,185.4376474199962,186.60451381999883,186.60451381999883,189.60624214400013,186.60451381999883,None,185.4376474199962,186.60451381999883,189.60624214400013,None,space,0.37568937700416427,194.90878360199713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.90878360199713,None,192.94035856999835,None,192.94035856999835,None,195.3254408809953,None,195.3254408809953,None,return,5.102984484001354,195.3254408809953,None,52.0,454.0279780011648,195.3254408809953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.4611049419982,None,200.4611049419982,None,return,8.399363536998862,200.4611049419982,None,-154.0,662.7997714570575,200.4611049419982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.89824477899674,None,208.89824477899674,None,return,5.938108354996075,208.89824477899674,None,-8.0,514.8352964834637,208.89824477899674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.88496916199801,None,214.88496916199801,None,return,5.071472802999779,214.88496916199801,None,45.0,461.122165157433,214.88496916199801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.00365488199895,None,220.00365488199895,None,return,3.648718866003037,220.00365488199895,None,130.0,374.9784639741763,220.00365488199895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.355,8.614944214300786,53.11113108116436,354.07420720776236,35.40742072077624,159.33339324349308,223.68941703799646,None,223.68941703799646,None,223.68941703799646,None,space,0.9549778450018493,223.68941703799646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.55437347856932,None,245.55437347856932,None,245.55437347856932,None,245.5933826699984,None,space,3.367835440993076,2.016969778575003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.556624730998,None,245.5933826699984,None,250.96993538300012,None,space,3.468179160998261,252.93622993499594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.93622993499594,None,250.96993538300012,None,258.38870686299924,None,space,0.3198161379987141,258.38870686299924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.4246167149977,None,256.4246167149977,None,space,0.8084402419990511,260.724020621994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_29_1409,Simcolourproject_2stim_asymm_good,2020.1.2,59.63587384873731,
